,Kernel,Average False Confidence,batch_size,eps,eps_step,max_iter,model,name,norm,kwargs
0,rbf,-0.0891697476075877,100.0,0.01,0.1,10.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 0.001, '_target_': 'deckard.base.model.ModelInitializer', 'kernel': 'linear', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,inf,
1,rbf,-0.1033022196880611,100.0,0.1,0.3,1.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 0.1, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 10000, 'degree': 1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,1.0,
2,rbf,-0.09492238102818357,50.0,0.001,0.1,1000.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 0.001, '_target_': 'deckard.base.model.ModelInitializer', 'kernel': 'linear', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,2.0,
3,rbf,-0.08776877523468973,10.0,0.5,0.01,10.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 0.001, '_target_': 'deckard.base.model.ModelInitializer', 'kernel': 'linear', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,2.0,
4,rbf,0.03459995755243483,50.0,0.001,0.01,1000.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 10000, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 0.001, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,inf,
5,rbf,-0.09427081786218082,1.0,1.0,0.01,1.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 0.001, '_target_': 'deckard.base.model.ModelInitializer', 'kernel': 'linear', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,2.0,
6,rbf,0.03456225123775106,50.0,0.01,0.3,1000.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 10000, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 0.001, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,2.0,
7,rbf,-0.09829620499187791,50.0,0.5,0.01,1000.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 10000, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 0.001, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,inf,
8,rbf,-0.07277278952864595,10.0,0.3,1.0,1000.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 0.001, '_target_': 'deckard.base.model.ModelInitializer', 'kernel': 'linear', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,2.0,
9,rbf,0.03459995755243483,50.0,0.001,0.3,1000.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 10000, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 0.001, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,inf,
10,rbf,-0.02380188816406094,10.0,1.0,1.0,10.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 0.1, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 10000, 'degree': 1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,2.0,
11,rbf,0.034748599670038655,50.0,0.001,0.01,1000.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 10000, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 0.001, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,2.0,
12,rbf,0.03459995863083089,10.0,0.001,0.01,1.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 10000, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 0.001, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,inf,
13,rbf,0.032388786676101414,50.0,0.5,0.001,100.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 10000, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 0.001, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,2.0,
14,rbf,-0.039035185324945945,1.0,0.1,0.3,1.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 0.1, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 10000, 'degree': 1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,inf,
15,rbf,0.17413074937263717,,,,,"{'art': {'library': 'sklearn-svc', 'name': '37e40fba19cda476dad12a95c79baf44', 'pipeline': {}}, 'data': {'generate': {'kwargs': {'n_features': 20, 'n_samples': 1100, 'random_state': 0}, 'name': 'classification'}, 'name': '0b50a84d7472bc7095f9199da9fa02bc', 'sample': {'random_state': 0, 'shuffle': True, 'stratify': True, 'test_size': 1000, 'time_series': False, 'train_size': 100}, 'sklearn_pipeline': {'pipeline': {'preprocessor': {'kwargs': {'with_mean': True, 'with_std': True}, 'name': 'sklearn.preprocessing.StandardScaler'}}}}, 'init': {'kwargs': {'kwargs': {'C': 1.0, 'kernel': 'rbf', 'max_iter': 10, 'probability': True, 'random_state': 0}}, 'name': 'sklearn.svm.SVC'}, 'library': 'sklearn-svc', 'name': '433fc7aa2f77199ae99841829bb02ec9', 'trainer': {'kwargs': {'kwargs': {}}}}",art.attacks.evasion.ProjectedGradientDescent,,{}
16,rbf,0.03274618487000771,100.0,0.1,0.001,10.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 10000, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 0.001, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,inf,
17,rbf,0.03474409203508331,10.0,1.0,0.01,1.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 10000, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 0.001, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,1.0,
18,rbf,-0.0238018889099295,1.0,1.0,0.5,100.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 0.1, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 10000, 'degree': 1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,2.0,
19,rbf,-0.0891697476075877,50.0,0.01,0.3,1.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 0.001, '_target_': 'deckard.base.model.ModelInitializer', 'kernel': 'linear', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,inf,
20,rbf,-0.09819151133549038,100.0,0.01,0.01,10.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'generate': {'n_features': 100, 'n_informative': 99, 'n_redundant': 0, 'n_repeated': 0, 'n_samples': 11100, 'name': 'classification', 'random_state': 0}, 'sample': {'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 10000}, 'sklearn_pipeline': {'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}}, 'init': {'C': 0.1, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 10000, 'degree': 1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,inf,
