,Kernel,Average False Confidence After Retraining,batch_size,eps,eps_step,norm,name,max_iter
0,rbf,0.3980443892959989,100.0,0.5,0.5,2.0,art.attacks.evasion.ProjectedGradientDescent,
1,rbf,0.20631127785804942,10.0,0.1,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,
2,rbf,0.20771660972159162,100.0,0.3,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,10.0
3,rbf,0.2784407286144316,50.0,0.3,0.5,1.0,art.attacks.evasion.ProjectedGradientDescent,10.0
4,rbf,0.33715803720688703,1.0,0.01,0.01,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
5,rbf,0.27230318002912013,10.0,0.5,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent,10.0
6,rbf,0.207699359539853,50.0,0.001,0.1,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
7,rbf,0.27634430168570906,50.0,0.1,0.1,2.0,art.attacks.evasion.ProjectedGradientDescent,1.0
8,rbf,0.07962377058029002,100.0,0.5,0.1,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
9,rbf,0.27634431232202233,10.0,0.1,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,10.0
10,rbf,0.3980443904813942,100.0,0.5,0.1,2.0,art.attacks.evasion.ProjectedGradientDescent,
11,rbf,0.2077166029827739,1.0,0.01,0.3,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
12,rbf,0.1973390330759373,1.0,0.5,0.001,inf,art.attacks.evasion.ProjectedGradientDescent,
13,rbf,0.2077363161327621,100.0,0.001,0.5,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
14,rbf,0.20750038923750225,10.0,0.5,0.01,1.0,art.attacks.evasion.ProjectedGradientDescent,10.0
15,rbf,0.33709043253089155,100.0,0.001,1.0,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
16,rbf,0.4512996927373278,1.0,0.01,0.5,1.0,art.attacks.evasion.ProjectedGradientDescent,
17,rbf,0.4511902640666454,10.0,0.001,0.3,inf,art.attacks.evasion.ProjectedGradientDescent,
18,rbf,0.19733926660926301,10.0,0.1,0.01,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
19,rbf,0.02547199469968526,1.0,1.0,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,10.0
20,rbf,0.20640526179287516,1.0,0.5,0.5,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
21,rbf,0.24017992890888248,1.0,0.3,0.5,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
22,rbf,0.2019248030260757,1.0,0.3,0.5,2.0,art.attacks.evasion.ProjectedGradientDescent,
23,rbf,0.001750127441918048,1.0,1.0,0.01,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
24,rbf,0.03578691545917889,100.0,1.0,0.001,2.0,art.attacks.evasion.ProjectedGradientDescent,
25,rbf,0.20631128268097823,100.0,0.1,0.1,2.0,art.attacks.evasion.ProjectedGradientDescent,
