,Kernel,Average False Confidence After Retraining,batch_size,eps,eps_step,max_iter,name
0,rbf,-0.42500276950427013,100,0.1,0.01,100,art.attacks.evasion.ProjectedGradientDescent
1,rbf,-0.4278171190544697,1,0.01,0.01,1,art.attacks.evasion.ProjectedGradientDescent
2,rbf,-0.4371932099613039,10,0.1,0.001,10,art.attacks.evasion.ProjectedGradientDescent
3,rbf,-0.43862588082971643,1,1.0,0.001,10,art.attacks.evasion.ProjectedGradientDescent
4,rbf,-0.4365202584492295,100,1.0,0.01,10,art.attacks.evasion.ProjectedGradientDescent
5,rbf,-0.42746058537288745,10,1.0,0.01,10,art.attacks.evasion.ProjectedGradientDescent
6,rbf,-0.4251306625974625,10,0.1,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
7,rbf,-0.4215197064530683,10,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
8,rbf,-0.4237499511236063,100,0.001,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
9,rbf,-0.42746400976585947,100,0.01,0.01,1,art.attacks.evasion.ProjectedGradientDescent
10,rbf,-0.4278527018094272,100,1.0,0.01,1,art.attacks.evasion.ProjectedGradientDescent
11,rbf,-0.43176712677514617,100,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
12,rbf,-0.43371940364448813,10,0.01,0.001,1,art.attacks.evasion.ProjectedGradientDescent
13,rbf,-0.4060327853618901,1,0.1,0.001,10,art.attacks.evasion.ProjectedGradientDescent
14,rbf,-0.4319843991826898,1,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
15,rbf,-0.4235466357821781,1,0.001,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
16,rbf,-0.4335540296225674,10,0.01,0.01,1,art.attacks.evasion.ProjectedGradientDescent
17,rbf,-0.43520928233855904,1,0.001,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
18,rbf,-0.4395563941329772,100,1.0,0.01,100,art.attacks.evasion.ProjectedGradientDescent
19,rbf,-0.4308479387474457,1,0.001,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
20,rbf,-0.42839557562652414,1,0.1,0.001,10,art.attacks.evasion.ProjectedGradientDescent
21,rbf,-0.42368576778785344,10,0.01,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
22,rbf,-0.4235466357821781,100,0.01,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
23,rbf,-0.42400728463403864,10,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
24,rbf,-0.4346198654427901,1,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
25,rbf,-0.439041261696902,10,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
26,rbf,-0.4263812866546005,100,0.01,0.1,100,art.attacks.evasion.ProjectedGradientDescent
27,rbf,-0.43140057691970135,100,0.1,0.1,1,art.attacks.evasion.ProjectedGradientDescent
28,rbf,-0.4341535696531505,10,1.0,0.01,1,art.attacks.evasion.ProjectedGradientDescent
29,rbf,-0.4235466357821781,10,1.0,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
