,Kernel,Average False Confidence,Attack,batch_size,eps,eps_step,max_iter,name
0,rbf,0.06216455609399521,"{'batch_size': 100, 'eps': 0.1, 'eps_step': 0.01, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.1,0.01,100,art.attacks.evasion.ProjectedGradientDescent
1,rbf,0.013964280526127987,"{'batch_size': 1, 'eps': 0.01, 'eps_step': 0.01, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.01,0.01,1,art.attacks.evasion.ProjectedGradientDescent
2,rbf,0.22998752163647332,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.1, 'eps_step': 0.001, 'max_iter': 10, 'batch_size': 10}",10,0.1,0.001,10,art.attacks.evasion.ProjectedGradientDescent
3,rbf,0.0421494362512447,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.001, 'max_iter': 10, 'batch_size': 1}",1,1.0,0.001,10,art.attacks.evasion.ProjectedGradientDescent
4,rbf,0.0704217249515018,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.01, 'max_iter': 10, 'batch_size': 100}",100,1.0,0.01,10,art.attacks.evasion.ProjectedGradientDescent
5,rbf,0.13088492271442276,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.01, 'max_iter': 10, 'batch_size': 10}",10,1.0,0.01,10,art.attacks.evasion.ProjectedGradientDescent
6,rbf,0.12710670970410576,"{'batch_size': 10, 'eps': 0.1, 'eps_step': 0.0001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.1,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
7,rbf,0.08143279225886448,"{'batch_size': 10, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
8,rbf,0.11135871133393374,"{'batch_size': 100, 'eps': 0.001, 'eps_step': 0.01, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.001,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
9,rbf,0.0900512377928708,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.01, 'eps_step': 0.01, 'max_iter': 1, 'batch_size': 100}",100,0.01,0.01,1,art.attacks.evasion.ProjectedGradientDescent
10,rbf,0.09232659750963801,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.01, 'max_iter': 1, 'batch_size': 100}",100,1.0,0.01,1,art.attacks.evasion.ProjectedGradientDescent
11,rbf,0.13865790919360166,"{'batch_size': 100, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
12,rbf,0.16054116589380732,"{'batch_size': 10, 'eps': 0.01, 'eps_step': 0.001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.01,0.001,1,art.attacks.evasion.ProjectedGradientDescent
