,Kernel,Average False Confidence,batch_size,eps,eps_step,max_iter,name
0,rbf,-0.02383973446882126,100,0.1,0.01,100,art.attacks.evasion.ProjectedGradientDescent
1,rbf,-0.07156188018505868,1,0.01,0.01,1,art.attacks.evasion.ProjectedGradientDescent
2,rbf,-0.21878348368491202,10,0.1,0.001,10,art.attacks.evasion.ProjectedGradientDescent
3,rbf,-0.22359656671697925,1,1.0,0.001,10,art.attacks.evasion.ProjectedGradientDescent
4,rbf,-0.1945133087327829,100,1.0,0.01,10,art.attacks.evasion.ProjectedGradientDescent
5,rbf,-0.057843281693527794,10,1.0,0.01,10,art.attacks.evasion.ProjectedGradientDescent
6,rbf,-0.047696991505398946,10,0.1,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
7,rbf,-0.04397436420187391,10,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
8,rbf,-0.04501546314655376,100,0.001,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
9,rbf,-0.05365597982058441,100,0.01,0.01,1,art.attacks.evasion.ProjectedGradientDescent
10,rbf,-0.05792922344996256,100,1.0,0.01,1,art.attacks.evasion.ProjectedGradientDescent
11,rbf,-0.06902896873985628,100,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
12,rbf,-0.08270535060378467,10,0.01,0.001,1,art.attacks.evasion.ProjectedGradientDescent
13,rbf,0.05806635635335935,1,0.1,0.001,10,art.attacks.evasion.ProjectedGradientDescent
14,rbf,-0.19349141475557505,1,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
15,rbf,-0.009890811612189632,1,0.001,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
16,rbf,-0.08536568406992615,10,0.01,0.01,1,art.attacks.evasion.ProjectedGradientDescent
17,rbf,-0.14304912886456086,1,0.001,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
18,rbf,-0.2162436837935271,100,1.0,0.01,100,art.attacks.evasion.ProjectedGradientDescent
19,rbf,-0.0883555898522966,1,0.001,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
20,rbf,-0.06591313078427885,1,0.1,0.001,10,art.attacks.evasion.ProjectedGradientDescent
21,rbf,-0.030146932106653822,10,0.01,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
22,rbf,-0.009890811612189632,100,0.01,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
23,rbf,-0.033494738655575194,10,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
24,rbf,-0.13535512275386216,1,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
25,rbf,-0.22810991690949312,10,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
26,rbf,-0.03243088663897407,100,0.01,0.1,100,art.attacks.evasion.ProjectedGradientDescent
27,rbf,-0.05985872394456844,100,0.1,0.1,1,art.attacks.evasion.ProjectedGradientDescent
28,rbf,-0.08831161776239824,10,1.0,0.01,1,art.attacks.evasion.ProjectedGradientDescent
29,rbf,-0.009890811612189632,10,1.0,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
30,rbf,-0.07087976114339026,10,0.001,0.01,1,art.attacks.evasion.ProjectedGradientDescent
31,rbf,-0.17021951702447144,100,0.001,0.1,100,art.attacks.evasion.ProjectedGradientDescent
