,data.generate.class_sep,data.generate.n_classes,data.generate.n_features,data.generate.n_informative,data.generate.n_redundant,data.generate.n_repeated,data.generate.n_samples,data.name,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.time_series,data.sample.train_size,model.init.C,model.init.coef0,model.init.degree,model.init.kernel,model.init.max_iter,model.init.name,model.init.probability,scorers.accuracy.name,scorers.accuracy.normalize,scorers.f1.average,scorers.f1.name,scorers.precision.average,scorers.precision.name,scorers.recall.average,scorers.recall.name,files.attack_file,files.attack_predictions_file,files.attack_probabilities_file,files.attack_samples_file,files.attack_score_dict_file,files.attack_time_dict_file,files.data_file,files.ground_truth_file,files.model_file,files.params_file,files.path,files.predictions_file,files.probabilities_file,files.reports,files.score_dict_file,files.time_dict_file,accuracy,f1,precision,recall,fit_time,predict_time,proba_time,model.init.gamma,model.sklearn_pipeline.feature_selection.name,model.sklearn_pipeline.feature_selection.with_mean,model.sklearn_pipeline.feature_selection.with_std,attack.init.name,attack.init.eps,attack.init.eps_step,attack.init.max_iter,attack.init.batch_size,attack.generate.attack_size,files.samples_file,attack_fit_time,attack_predict_time,attack_proba_time,model.art_pipeline.trainer_defence.name,model.art_pipeline.trainer_defence.ratio,Kernel,Features,Samples,input_size
0,1,2,10,9,0,0,101000,classification,42,True,True,1000,True,2000,1000.0,0.0001,1,rbf,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,attack/6bc16f621427375278e59654f3d997f3.pkl,attack_predictions.json,attack_probabilities.json,samples.json,attack_scores.json,attack_time_dict.json,data/4e14baf2514587b97a1d9bba57b168e2.npz,ground_truth.json,models/97f8409b51b5ca9fc9c61f734204dab4.pkl,params.json,reports/train/524d7cb63796a6907494ec7ee0640f05,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.9250204082,0.9250216946,0.9250559974,0.9250204082,0.00010030211499999808,2.1716681367347e-05,2.1826770408163195e-05,,,,,,,,,,,,,,,,,rbf,10,2000,1010000
0,1,2,100,99,0,0,101000,['classification'],42,True,True,1000,True,10000,1000.0,0.1,3,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/1332ceae94be76b20525d9dbb1b61dc8.pickle,ground_truth.json,model_queue/model/c6c4e5d090266bb9760e6502e4579b78.pickle,params.json,reports/model_queue/14c463a1799d30d5950e6a6788197d41,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.9936,0.9936000002,0.9936000632,0.9936,0.0005877431909999984,8.928761875555564e-05,9.319061348888908e-05,scale,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,poly,100,10000,10100000
0,1,2,100,99,0,0,110000,classification,42,True,True,1000,True,100000,1000.0,0.001,1,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,attack/6bc16f621427375278e59654f3d997f3.pkl,attack_predictions.json,attack_probabilities.json,samples.json,attack_scores.json,attack_time_dict.json,data/42871f8d8f378f7ecf95fd9e760de151.npz,ground_truth.json,models/dbd3efc70b193aebedf2a6eb0d380eda.pkl,params.json,reports/train/c4e8001979f68c69c5926b9ec61e1914,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.6226666667,0.6231367184,0.6254893158,0.6226666667,0.0017114216791399668,6.0674790333400276e-05,6.017429455500355e-05,,,,,,,,,,,,,,,,,poly,100,100000,11000000
0,1,2,10,9,0,0,110000,classification,42,True,True,1000,True,100000,100.0,10000.0,3,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,attack/6bc16f621427375278e59654f3d997f3.pkl,attack_predictions.json,attack_probabilities.json,samples.json,attack_scores.json,attack_time_dict.json,data/37831463be384fc431230a73539cd2b6.npz,ground_truth.json,models/78bad680409af920b6f0736aafddacf0.pkl,params.json,reports/train/f4ff2092011512e4fc9586eae0c3decf,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.3725555556,0.381231134,0.3997522307,0.3725555556,0.0001490719569599969,1.7191516444452445e-05,1.704628411112531e-05,,,,,,,,,,,,,,,,,poly,10,100000,1100000
0,1,2,10,9,0,0,100000,['classification'],42,True,True,1000,True,10000,1.0,0.1,1,linear,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/2466a5a7f13dbeb921b6a3feee0dc649.pickle,ground_truth.json,model_queue/model/aae812bda339d86a6faae893402cdbb2.pickle,params.json,reports/model_queue/5332ad8c53238848786219e865b2ebff,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.6295393258,0.651109655,0.7393815349,0.6295393258,0.0001341384391000247,1.6681795415729794e-05,1.696411950562445e-05,auto,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,linear,10,10000,1000000
0,1,2,1000,999,0,0,101000,['classification'],42,True,True,1000,True,1000,1000.0,0.0001,3,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/599b0e796dac82316ad0ac001ceccdd1.pickle,ground_truth.json,model_queue/model/62776dba738c42d4937bfdc2ae8770f6.pickle,params.json,reports/model_queue/4f7f3e25d574c7704e268753556fd4a4,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.6317979798,0.6684546335,0.8131454299,0.6317979798,0.000995460527999967,0.00020143156536363735,0.000174213257232323,scale,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,poly,1000,1000,101000000
0,1,2,10,9,0,0,100000,['classification'],42,True,True,1000,True,100,1000.0,0.001,1,linear,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/5048c8b0cfeb3c18600b08a0325b238b.pickle,ground_truth.json,model_queue/model/b3af33c1eb97cd12a65b357d148c3196.pickle,params.json,reports/model_queue/2e8ba3be4e15bb96c9453a08a381e97c,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.5501213347,0.5513492955,0.5555690518,0.5501213347,5.921903000000839e-05,1.5840191911016542e-06,1.8065473104150826e-06,auto,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,linear,10,100,1000000
0,1,2,10,9,0,0,101000,classification,42,True,True,1000,True,10000,0.1,0.001,2,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,attack/6bc16f621427375278e59654f3d997f3.pkl,attack_predictions.json,attack_probabilities.json,samples.json,attack_scores.json,attack_time_dict.json,data/581107a2ee32dfca25b871561269b320.npz,ground_truth.json,models/d905a00faefb5dd5b10be0dfc633ed49.pkl,params.json,reports/train/60451c56fafe0cd811c974a49f159978,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.5334222222,0.660448351,0.9613128316,0.5334222222,0.0003257266308000027,4.226115013333324e-05,4.1753708877778056e-05,,,,,,,,,,,,,,,,,poly,10,10000,1010000
0,1,2,10,9,0,0,101000,['classification'],42,True,True,1000,True,100,0.0001,0.01,4,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/ec0e70f7e9639ecdbbd1cf97ef1bf9d0.pickle,ground_truth.json,model_queue/model/31b1b45edb7e5715d88e33c3acb99772.pickle,params.json,reports/model_queue/0b7276f90eeb4d650780dadfd31fd0bb,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.5025625626,0.6657426089,0.9967942576,0.5025625626,2.4935210000194274e-05,2.4385070170179685e-06,2.5722726526522834e-06,scale,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,poly,10,100,1010000
0,1,2,10,9,0,0,100000,['classification'],42,True,True,1000,True,100,100.0,10.0,4,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/5048c8b0cfeb3c18600b08a0325b238b.pickle,ground_truth.json,model_queue/model/d23c80bb912ca393b2ca399f53bd78d0.pickle,params.json,reports/model_queue/1e1772d955310edd9fb64fc3095d04ee,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.792760364,0.7928831898,0.7939426728,0.792760364,4.470742000009409e-05,9.909989787665358e-07,1.1678066531849596e-06,auto,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,poly,10,100,1000000
0,1,2,10,9,0,0,101000,['classification'],42,True,True,1000,True,100,0.0001,1000.0,5,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/ec0e70f7e9639ecdbbd1cf97ef1bf9d0.pickle,ground_truth.json,model_queue/model/bc5c4a4f51f1304d1fbccfb0d50d9b69.pickle,params.json,reports/model_queue/32e86ab3aacb4c69d87b490f52bcea98,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.5687187187,0.5689062082,0.5696101348,0.5687187187,5.86211299992101e-05,2.0780915315310735e-06,2.3304431131129952e-06,scale,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,poly,10,100,1010000
0,1,2,10,9,0,0,100000,['classification'],42,True,True,1000,True,100,0.1,1000.0,1,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/5048c8b0cfeb3c18600b08a0325b238b.pickle,ground_truth.json,model_queue/model/3b62ce0454716f08d3dec6f93fcb43c4.pickle,params.json,reports/model_queue/a981e9c9f8c4851a18db6fbe09834b01,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.7638119312,0.7646920483,0.7712312719,0.7638119312,2.4264510000193695e-05,1.8861209605657907e-06,2.0912870879676535e-06,auto,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,poly,10,100,1000000
0,1,2,10,9,0,0,100000,['classification'],42,True,True,1000,True,10000,1.0,1.0,1,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/2466a5a7f13dbeb921b6a3feee0dc649.pickle,ground_truth.json,model_queue/model/a7a99fa71a67bd1b8f5752d61cba2e44.pickle,params.json,reports/model_queue/54cb628971628ff5432824d1774ce30b,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.5044157303,0.6601880251,0.982259641,0.5044157303,0.0003185076772999309,4.621424839326741e-05,4.360724899998694e-05,auto,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,poly,10,10000,1000000
0,1,2,10,9,0,0,100000,['classification'],42,True,True,1000,True,10000,0.1,100000.0,1,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/2466a5a7f13dbeb921b6a3feee0dc649.pickle,ground_truth.json,model_queue/model/e34fa78b2b01a8d368140ac320138f65.pickle,params.json,reports/model_queue/4bd7d265d56f8d27b6174084be4d3693,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.559258427,0.6564294221,0.9201522069,0.559258427,0.0003134808018001422,4.039319896628002e-05,4.12113339775255e-05,auto,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,poly,10,10000,1000000
