,Kernel,Average False Confidence,batch_size,eps,eps_step,max_iter,model,name,norm
0,rbf,0.045757803432091376,1.0,0.1,0.1,10.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'name': 'https://gist.githubusercontent.com/simplymathematics/8c6c04bd151950d5ea9e62825db97fdd/raw/d6a22cdb42a1db624c89f0298cb4f654d3812703/kdd_nsl.csv', 'sample': {'_target_': 'deckard.base.data.SklearnDataSampler', 'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 5000}, 'sklearn_pipeline': {'encoder': {'handle_unknown': 'use_encoded_value', 'name': 'sklearn.preprocessing.OrdinalEncoder', 'unknown_value': -1}, 'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}, 'target': 'label'}, 'init': {'C': 0.1, '_target_': 'deckard.base.model.ModelInitializer', 'kernel': 'linear', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,2.0
1,rbf,0.04003271330051973,1.0,0.001,0.1,1.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'name': 'https://gist.githubusercontent.com/simplymathematics/8c6c04bd151950d5ea9e62825db97fdd/raw/d6a22cdb42a1db624c89f0298cb4f654d3812703/kdd_nsl.csv', 'sample': {'_target_': 'deckard.base.data.SklearnDataSampler', 'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 5000}, 'sklearn_pipeline': {'encoder': {'handle_unknown': 'use_encoded_value', 'name': 'sklearn.preprocessing.OrdinalEncoder', 'unknown_value': -1}, 'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}, 'target': 'label'}, 'init': {'C': 0.1, '_target_': 'deckard.base.model.ModelInitializer', 'kernel': 'linear', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,inf
2,rbf,-0.18694598185578237,50.0,0.1,0.5,10.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'name': 'https://gist.githubusercontent.com/simplymathematics/8c6c04bd151950d5ea9e62825db97fdd/raw/d6a22cdb42a1db624c89f0298cb4f654d3812703/kdd_nsl.csv', 'sample': {'_target_': 'deckard.base.data.SklearnDataSampler', 'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 5000}, 'sklearn_pipeline': {'encoder': {'handle_unknown': 'use_encoded_value', 'name': 'sklearn.preprocessing.OrdinalEncoder', 'unknown_value': -1}, 'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}, 'target': 'label'}, 'init': {'C': 1, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,2.0
3,rbf,-0.1278341315397425,1.0,0.1,0.1,1000.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'name': 'https://gist.githubusercontent.com/simplymathematics/8c6c04bd151950d5ea9e62825db97fdd/raw/d6a22cdb42a1db624c89f0298cb4f654d3812703/kdd_nsl.csv', 'sample': {'_target_': 'deckard.base.data.SklearnDataSampler', 'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 5000}, 'sklearn_pipeline': {'encoder': {'handle_unknown': 'use_encoded_value', 'name': 'sklearn.preprocessing.OrdinalEncoder', 'unknown_value': -1}, 'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}, 'target': 'label'}, 'init': {'C': 0.001, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 10, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,inf
4,rbf,0.044039112155216366,10.0,0.3,1.0,100.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'name': 'https://gist.githubusercontent.com/simplymathematics/8c6c04bd151950d5ea9e62825db97fdd/raw/d6a22cdb42a1db624c89f0298cb4f654d3812703/kdd_nsl.csv', 'sample': {'_target_': 'deckard.base.data.SklearnDataSampler', 'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 5000}, 'sklearn_pipeline': {'encoder': {'handle_unknown': 'use_encoded_value', 'name': 'sklearn.preprocessing.OrdinalEncoder', 'unknown_value': -1}, 'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}, 'target': 'label'}, 'init': {'C': 0.1, '_target_': 'deckard.base.model.ModelInitializer', 'kernel': 'linear', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,1.0
5,rbf,0.03978819293394314,100.0,0.001,0.01,100.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'name': 'https://gist.githubusercontent.com/simplymathematics/8c6c04bd151950d5ea9e62825db97fdd/raw/d6a22cdb42a1db624c89f0298cb4f654d3812703/kdd_nsl.csv', 'sample': {'_target_': 'deckard.base.data.SklearnDataSampler', 'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 5000}, 'sklearn_pipeline': {'encoder': {'handle_unknown': 'use_encoded_value', 'name': 'sklearn.preprocessing.OrdinalEncoder', 'unknown_value': -1}, 'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}, 'target': 'label'}, 'init': {'C': 0.1, '_target_': 'deckard.base.model.ModelInitializer', 'kernel': 'linear', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,1.0
6,rbf,0.02918257292451175,100.0,0.001,0.3,1000.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'name': 'https://gist.githubusercontent.com/simplymathematics/8c6c04bd151950d5ea9e62825db97fdd/raw/d6a22cdb42a1db624c89f0298cb4f654d3812703/kdd_nsl.csv', 'sample': {'_target_': 'deckard.base.data.SklearnDataSampler', 'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 5000}, 'sklearn_pipeline': {'encoder': {'handle_unknown': 'use_encoded_value', 'name': 'sklearn.preprocessing.OrdinalEncoder', 'unknown_value': -1}, 'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}, 'target': 'label'}, 'init': {'C': 10000, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,2.0
7,rbf,0.03369660448330955,10.0,0.3,0.1,100.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'name': 'https://gist.githubusercontent.com/simplymathematics/8c6c04bd151950d5ea9e62825db97fdd/raw/d6a22cdb42a1db624c89f0298cb4f654d3812703/kdd_nsl.csv', 'sample': {'_target_': 'deckard.base.data.SklearnDataSampler', 'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 5000}, 'sklearn_pipeline': {'encoder': {'handle_unknown': 'use_encoded_value', 'name': 'sklearn.preprocessing.OrdinalEncoder', 'unknown_value': -1}, 'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}, 'target': 'label'}, 'init': {'C': 10000, '_target_': 'deckard.base.model.ModelInitializer', 'coef0': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,1.0
8,rbf,0.046893384630970064,100.0,0.5,1.0,100.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'name': 'https://gist.githubusercontent.com/simplymathematics/8c6c04bd151950d5ea9e62825db97fdd/raw/d6a22cdb42a1db624c89f0298cb4f654d3812703/kdd_nsl.csv', 'sample': {'_target_': 'deckard.base.data.SklearnDataSampler', 'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 5000}, 'sklearn_pipeline': {'encoder': {'handle_unknown': 'use_encoded_value', 'name': 'sklearn.preprocessing.OrdinalEncoder', 'unknown_value': -1}, 'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}, 'target': 'label'}, 'init': {'C': 0.1, '_target_': 'deckard.base.model.ModelInitializer', 'kernel': 'linear', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,1.0
9,rbf,0.046893384630970064,50.0,0.5,1.0,1000.0,"{'_target_': 'deckard.base.model.Model', 'art': {'_target_': 'deckard.base.model.art_pipeline.ArtPipeline', 'initialize': None, 'library': 'sklearn-svc'}, 'data': {'_target_': 'deckard.base.data.Data', 'name': 'https://gist.githubusercontent.com/simplymathematics/8c6c04bd151950d5ea9e62825db97fdd/raw/d6a22cdb42a1db624c89f0298cb4f654d3812703/kdd_nsl.csv', 'sample': {'_target_': 'deckard.base.data.SklearnDataSampler', 'random_state': 0, 'stratify': True, 'test_size': 1000, 'train_size': 5000}, 'sklearn_pipeline': {'encoder': {'handle_unknown': 'use_encoded_value', 'name': 'sklearn.preprocessing.OrdinalEncoder', 'unknown_value': -1}, 'preprocessor': {'name': 'sklearn.preprocessing.StandardScaler', 'with_mean': True, 'with_std': True}}, 'target': 'label'}, 'init': {'C': 0.1, '_target_': 'deckard.base.model.ModelInitializer', 'kernel': 'linear', 'max_iter': 10, 'name': 'sklearn.svm.SVC', 'probability': True, 'random_state': 0}, 'library': 'sklearn-svc'}",art.attacks.evasion.ProjectedGradientDescent,1.0
